,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,high_alcohol
3,Andorra,245,138,312,12.4,True
8,Australia,261,72,212,10.4,True
15,Belarus,142,373,42,14.4,True
16,Belgium,295,84,212,10.5,True
25,Bulgaria,231,252,94,10.3,True
42,Croatia,230,87,254,10.2,True
45,Czech Republic,361,170,134,11.8,True
48,Denmark,224,81,278,10.4,True
60,Finland,263,133,97,10.0,True
61,France,127,151,370,11.8,True
65,Germany,346,117,175,11.3,True
68,Grenada,199,438,28,11.9,True
75,Hungary,234,215,185,11.3,True
81,Ireland,313,118,165,11.4,True
93,Latvia,281,216,62,10.5,True
98,Lithuania,343,244,56,12.9,True
99,Luxembourg,236,133,271,11.4,True
135,Poland,343,215,56,10.9,True
136,Portugal,194,67,339,11.0,True
140,Romania,297,122,167,10.4,True
141,Russian Federation,247,326,73,11.5,True
144,St. Lucia,171,315,71,10.1,True
155,Slovakia,196,293,116,11.4,True
156,Slovenia,270,51,276,10.6,True
160,Spain,284,157,112,10.0,True
166,Switzerland,185,100,280,10.2,True
182,United Kingdom,219,126,195,10.4,True
