atlas_partner_id,nev,partner_telephely_id,telepules,kozterulet_nev,kozterulet_jelleg,hazszam,epulet,lepcsohaz,emelet,szekhely,ajto,helyrajzi_szam
1033575,AGRANA Sales&Marketing GmbH.,1005242,Bécs,Friedrich-Willhelm-Raiffeisen,tér,1,,,,True,,
1389901,GU-MO Sprint Team Kft.,1005251,Abony,Szolnoki,út,15.,,,,True,,
1033747,CBA Kereskedelmi Kft.,1005261,Alsónémedi,2402/1,külterület,,,,,False,,2402/1
1034081,Hering Trade Kft.,1005271,Ászár,Köztársaság,utca,10,,,,True,,
1034053,Hansa-Kontakt Kft.,1005283,Baja,Dózsa György,út,97,,,,False,,
1034301,MASSA Bajnai Gesztenye Feldolgozó Kft.,1005297,Bajna,Klapka György,utca,7,,,,True,,
1034393,Németh Zoltán e.v.,1005322,Battonya,Bajcsy-Zsilinszky,utca,86,A,,,True,,
1033807,Csuta és Csuta Kft.,1005333,Békés,Szabó Dezső,utca,45,,,,True,,
1033581,Agro-Flott Kft.,1005334,Békésszentandrás,Szent András,utca,11,,,,True,,
1033715,Borsodi Sörgyár Kft.,1005347,Bőcs,Rákóczi,út,81,,,,True,,
1033907,Farm Frites Hungary Kft.,1005377,Budaörs,Szabadság,út,117,,,,True,,
1034205,Kotányi Hungária Kft.,1005379,Budaörs,Szabadság,út,193.,,,,True,,
1390013,MÁTYUS Kft.,1005386,Budaörs,Baross,utca,173.,,,,True,,
1034649,Szarvasi Mozzarella Kft.,1005391,Budaörs,Gyár,utca,2,,,,True,,
1033743,Carlsberg Hungary,1005399,Budaörs,Neumann János,utca,3,,,,True,,
1033931,Flaga Hungária Kft.,1005401,Budaörs,Puskás Tivadar,utca,14,,,,True,,
1033903,F&R Partner Kft.,1005405,Budaörs,Raktár,utca,1,,,,True,,
1034713,The Fishmarket Kft.,1005407,Budaörs,Törökbálinti,utca,23,,,,True,,
1034835,White Lake Kft,1005408,Budaörs,Vak Bottyán,utca,24,,,,True,,
1034581,Sarantis Hungary Kft.,1005410,Budaörs,Vasút,utca,11,,,,True,,
1034683,Tahi-Tojás ,1005416,Bugyi,Alsóvány,külterület,7,,,,True,,
1034353,Mogyi Kft.,1005436,Csávoly,Petőfi Sándor,utca,29,,,,True,,
1033737,Candimpex Csoki Kft.,1005442,Csomád,Kossuth,út,103,,,,True,,
1389825,FINOMHUSI Feldolgozó és Értékesítő Korlátolt Felelősségű Társaság,1005456,Dabas,Vacsi,út,96,,,,True,,
1034751,Uni-Flock Kft.,1005496,Dunakeszi,Tőzegtavi,út,11-13,,,,True,,
1389838,Szena Produkt Kft.,1005519,Dunavarsány,Bethlen Gábor,utca,18,,,,True,,
1390015,MEAL-TRADE KFT.,1005526,Ebes,Forrás,utca,2.,,,,True,,
1034313,Mazsi Kft,1005542,Esztergom,Retek,utca,2,,,,True,,
1390075,W-web Kft.,1005547,Esztergom,Telegdy Csanád,utca,6.,,,,True,,
1034837,Wiesbauer Dunahús Kft.,1005587,Gönyű,Dózsa György,utca,4,,,,True,,
1034321,Medaqua Kft.,1005590,Gyöngyös,Keleti Karácsondi,köz,1,,,,True,,
1033601,Aqua Vital Interker Kft,1005595,Gyöngyös,Kossuth,utca,16,2,,,True,,
1389989,Kádár Pál,1005610,Gyula,Kárpát,utca,26.,,,,True,,
1034043,Gyulahús Kft.,1005611,Gyula,Munkácsy Mihály,utca,7-11,,,,True,,
1389658,"Schukkert-Víz Ker., Szolg.és Termelő",1005644,Harta,belterület,belterület,150,,,,True,,
1034363,Multi-Cikória Kft.,1005672,Jánossomorja,Frank,utca,19,,,,True,,
1034487,Akció Market  Jászberény,1005675,Jászberény,Nagykátai,út,15,,,,False,,
1034487,Pince Kft Italnagykereskedés,1005676,Jászberény,Nagykátai,út,15,,,,False,,
1034195,Kometa 99,1005702,Kaposvár,Pécsi,utca,67-69,,,,True,,
1034749,Új-Palini Hús ZRt.,1005715,Kilimán,Petőfi Sándor,utca,23,,,,True,,
1034433,P&P Pékáru Kft.,1005728,Kiskunfélegyháza,X.,kerület,92,B,,,True,,
1034569,Sáfrán és Társa Kft.,1005735,Kiskunlacháza,Rákóczi,út,80,,,,True,,
1034763,Úsovsko Hungary Kft,1005749,Komárom,Bajcsy-Zsilinszky,utca,5,,,,True,,
1034203,Kőröstej Kft.,1005762,Kőröstetétlen,Abonyi,utca,2,,,,True,,
1034613,Sofidel Hungary Kft.,1005788,Lábatlan,Rákóczi Ferenc,út,159,,,,True,,
1034289,Magyarvíz Ásványvíz Kft.,1005792,Lajosmizse,Elkerülő,út,5,,,,True,,
1034065,Házisweets Kft.,1005795,Lajosmizse,Széchenyi,utca,5,,,,True,,
1034099,HunEnt Zrt.,1005830,Mélykút,Tópart,utca,56.,,,,True,,
1034673,Szivárvány Aqua Kft.,1005839,Mezőkovácsháza,Alkotmány,utca,40-2,,,,True,,
1326439,Cba Mogyoród,1005841,Mogyoród,Gödöllői,út,244,,,,False,,
1034053,Príma Áruház Mórahalom,1005846,Mórahalom,István király,út,10,A,,,False,,
1034739,Tündérkert Trading kft,1005852,Mórahalom,Tavasz,utca,2,,,,True,,
1033703,Bonduelle Central Europe Kft.,1005863,Nagykőrös,Ceglédi,út,25,,,,True,,
1034139,Jász-Tész Kft.,1005867,Nagyréde,Haladás,út,,,,,True,,0233/4
1034057,Haribo Hungária Kft.,1005872,Nemesvámos,Szeder,utca,5,,,,True,,
1034085,Hilltop Neszmély Zrt.,1005874,Neszmély,Meleges,hegy,,,,,True,,
1034667,Szikrai Borászati Kft.,1005878,Nyárlőrinc,Fő,utca,3,,,,True,,
1034119,In-Food 2000 Kft.,1005884,Nyúl,Táncsics Mihály,utca,144,,,,True,,
1034429,Ostorosbor Zrt.,1005893,Ostoros,Nagyvölgy,utca,2,,,,True,,
1034183,Kiss és Társai Kft.,1005900,Pánd,Kossuth Lajos,utca,9,,,,True,,
1034457,Panyolai Szilvórium Zrt.,1005905,Panyola,Szilvórium,tanya,1,,,,True,,
1034459,Pápai Hús Kft.,1005909,Pápa,Kisfaludy,utca,2,,,,True,,
1034849,ZIMBO Perbál Húsipari Termelő Kft.,1005918,Perbál,Ipari,park,5,,,,True,,
