Nev,PartnerId,CimId,IsSzekhely,IsSzamlazasiCim,IsSzallitasiCim,Bankszamlaszam,KulsoId,IsIrasvedett,IsFizetesHitelSzamla,Id,FId,Dt,EFId,EDt,Verzio,D,Partner.Nev,Partner.RovidNev,Partner.Kod,Partner.KAdoalanyTipus,Partner.Adoszam,Partner.Cegjegyzekszam,Partner.FelirAzonosito,Partner.IsVevo,Partner.IsSzallito,Partner.IsKulfoldi,Partner.IsEUTag,Partner.AlapertelmezettFizetesiModId,Partner.IsTiltva,Partner.KulsoId,Partner.KulsoEDt,Partner.IsIrasvedett,Partner.ListPartnerCsoportId,Partner.KAdoalanyTipusNev,Partner.Id,Partner.FId,Partner.Dt,Partner.EFId,Partner.EDt,Partner.Verzio,Partner.D,Partner.Megjegyzes,Cim.TelepulesId,Cim.KozteruletNev,Cim.KozteruletJellegId,Cim.Hazszam,Cim.Epulet,Cim.Lepcsohaz,Cim.Szint,Cim.Ajto,Cim.Hrsz,Cim.D,Cim.Telepules.Iranyitoszam,Cim.Telepules.Nev,Cim.Telepules.OrszagId,Cim.Telepules.Id,Cim.Telepules.FId,Cim.Telepules.Dt,Cim.Telepules.EFId,Cim.Telepules.EDt,Cim.Telepules.Verzio,Cim.Telepules.D,Cim.KozteruletJelleg.Nev,Cim.KozteruletJelleg.MegjelenitesiSorrend,Cim.KozteruletJelleg.Id,Cim.KozteruletJelleg.FId,Cim.KozteruletJelleg.Dt,Cim.KozteruletJelleg.EFId,Cim.KozteruletJelleg.EDt,Cim.KozteruletJelleg.Verzio,Cim.KozteruletJelleg.D,Cim.FormazottCim,Cim.Id,Cim.FId,Cim.Dt,Cim.Verzio,KulsoEDt,Megjegyzes,KapcsolattartoNev,KapcsolattartoTelefonszam,KapcsolattartoEmail,KapcsolattartoFax,JovedekiEngedelyszam,MukodesiEngedelyszam,Partner.AlapertelmezettFizetesiHataridoId,Partner.EgyeniVallalkozoNyilvantartasiSzam
A Csokoládés Kft.,1021812,1237063,True,True,True,11600006-00000000-43962215,1006944,False,False,1237064,1019477,2022-09-15T18:12:39,1019477,2025-04-01T13:25:55.602565,36374202,0,A Csokoládés Kft.,A Csokoládés Kft.,1000001,0,13882536-2-42,01-09-878122,AA0515102,False,True,False,False,1005833.0,False,1033559,2022-12-23T08:28:01.635878,False,[],Cég,1021812,1019477,2022-09-15T11:58:48,1019477,2025-03-14T15:10:10.509963,35455858,0,SA0003,1001542,Ond Vezér,1005741,5-7,,,,,,0,1144,Budapest,1001210,1001542,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002340,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"1144 Budapest, Ond Vezér út 5-7",1237063,1019477,2022-09-15T18:12:39,33451774,,,,,,,,,,
Adalékmentesen Kft.,1021813,1237065,True,True,True,10800007-30000000-15406003,1006920,False,False,1237066,1019477,2022-09-15T18:12:39,1019477,2025-04-01T13:25:55.850815,36374203,0,Adalékmentesen Kft.,Adalékmentesen Kft.,1000002,0,26186304-2-10,10-09-038879,AA5970461,False,True,False,False,1005833.0,False,1033565,2021-08-31T06:20:26.803349,False,[],Cég,1021813,1019477,2022-09-15T11:58:48,1019477,2025-03-14T15:10:10.785097,35455882,0,S06598,1001537,Révész,1005743,2,B3,,,,,0,1138,Budapest,1001210,1001537,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002335,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"1138 Budapest, Révész utca 2 B3",1237065,1019477,2022-09-15T18:12:39,33451775,,,,,,,,,,
Agro-Flott Kft.,1021815,1237067,True,True,True,10104569-02269600-01005009,1005334,False,False,1237068,1019477,2022-09-15T18:12:39,1019477,2025-04-01T13:25:56.081674,36374204,0,Agro-Flott Kft.,Agro-Flott Kft.,1000004,0,24858216-2-04,04-09-012902,AA0535889,False,True,False,False,1005833.0,False,1033581,2022-06-13T12:33:30.518123,False,[],Cég,1021815,1019477,2022-09-15T11:58:48,1019477,2025-03-14T15:10:11.347905,35455908,0,S03913,1003274,Szent András,1005743,11,,,,,,0,5561,Békésszentandrás,1001210,1003274,0,2022-09-13T14:59:33,0,2022-09-13T14:59:33,1004072,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"5561 Békésszentandrás, Szent András utca 11",1237067,1019477,2022-09-15T18:12:39,33451776,,,,,,,,,,
Alföldi Tej Értékesítő Kft.,1021816,1237069,True,True,True,14220263-01086001-00000000,1000020,False,False,1237070,1019477,2022-09-15T18:12:39,1019477,2024-06-12T07:00:06.13297,35455932,0,Alföldi Tej Értékesítő Kft.,Alföldi Tej Értékesítő Kft.,1000005,0,13044859-2-07,07-09-015671,AA0031150,False,True,False,False,1005833.0,False,1033587,2021-08-31T06:20:26.803349,False,[],Cég,1021816,1019477,2022-09-15T11:58:48,1019477,2025-03-14T15:10:11.598221,35455931,0,S00862,1004266,Seregélyesi,1005741,127,,,,,,0,8000,Székesfehérvár,1001210,1004266,0,2022-09-13T14:59:35,0,2022-09-13T14:59:35,1005064,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"8000 Székesfehérvár, Seregélyesi út 127",1237069,1019477,2022-09-15T18:12:39,33451777,,,,,,,,,,
Ammerland Hungary Kft.,1021817,1237071,True,True,True,14220108-45947005,1006643,False,False,1237072,1019477,2022-09-15T18:12:40,1019477,2025-04-01T13:25:56.353932,36374205,0,Ammerland Hungary Kft.,Ammerland Hungary Kft.,1000006,0,13392516-2-42,01-09-732918,AA2684729,False,True,False,False,1005833.0,False,1033597,2021-08-31T06:20:26.803349,False,[],Cég,1021817,1019477,2022-09-15T11:58:48,1019477,2025-03-14T15:10:12.0462,35456605,0,S03075,1001479,Teréz,1005664,38,,,,,,0,1066,Budapest,1001210,1001479,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002277,0,körút,5,1005664,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006462,0,"1066 Budapest, Teréz körút 38",1237071,1019477,2022-09-15T18:12:40,33451778,,,,,,,,,,
Asix Distribution Kft.,1021818,1237073,True,True,True,10700017-04823009-60500001,1006694,False,False,1237074,1019477,2022-09-15T18:12:40,1019477,2025-04-01T13:25:56.59725,36374206,0,Asix Distribution Kft.,Asix Distribution Kft.,1000007,0,13282060-2-43,01-09-727281,AA2645951,False,True,False,False,1005833.0,False,1033619,2021-08-31T06:20:26.803349,False,[],Cég,1021818,1019477,2022-09-15T11:58:48,1019477,2025-03-14T15:10:12.364686,35456619,0,S00497,1001503,Soroksári,1005741,160,,,,,,0,1095,Budapest,1001210,1001503,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002301,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"1095 Budapest, Soroksári út 160",1237073,1019477,2022-09-15T18:12:40,33451779,,,,,,,,,,
ATC Trade Zrt.,1021819,1237075,True,True,True,10300002-28516020-00003285,1007513,False,False,1237076,1019477,2022-09-15T18:12:40,1019477,2025-04-01T13:25:56.827242,36374207,0,ATC Trade Zrt.,ATC Trade Zrt.,1000008,0,11596185-2-06,06-10-0000239,,False,True,False,False,1005833.0,False,1033621,2021-08-31T06:20:26.803349,False,[],Cég,1021819,1019477,2022-09-15T11:58:48,1019477,2025-03-14T15:10:12.732314,35457319,0,S00213,1003540,Budapesti,1005741,4,,,,,,0,6728,Szeged,1001210,1003540,0,2022-09-13T14:59:34,0,2022-09-13T14:59:34,1004338,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"6728 Szeged, Budapesti út 4",1237075,1019477,2022-09-15T18:12:40,33451780,,,,,,,,,,
Bábolna Élelmiszeripari Kft,1021820,1237077,False,True,True,18400010-10000231-13116133,1000041,True,False,1237078,1019477,2022-09-15T18:12:40,1019477,2025-03-20T13:30:00.148071,36061528,0,Bábolna Élelmiszeripari Kft,Bábolna Élelmiszeripari Kft,1000009,0,13577737-2-41,13-09-173648,AA0101439,False,True,False,False,1005833.0,False,1033629,2021-08-31T06:20:26.803349,False,[],Cég,1021820,1019477,2022-09-15T11:58:49,1019477,2025-03-14T15:10:12.978088,35457325,0,S00971,1001448,Fő,1005743,73,,,2,206,,0,1027,Budapest,1001210,1001448,0,2022-09-13T14:59:30,0,2022-09-13T14:59:30,1002246,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"1027 Budapest, Fő utca 73 2 206",1237077,1019477,2022-09-15T18:12:40,33451781,2021-08-31T06:43:03.595796,,,,,,,,,
Best Brands Hungária Kft.,1021821,1237079,True,True,True,11701004-25967692,1006478,False,False,1237080,1019477,2022-09-15T18:12:40,1019477,2025-04-01T13:25:57.338416,36374209,0,Best Brands Hungária Kft.,Best Brands Hungária Kft.,1000010,0,13989918-2-41,01-09-883516,AA5937543,False,True,False,False,1005833.0,False,1033661,2022-01-28T09:48:40.737671,False,[],Cég,1021821,1019477,2022-09-15T11:58:49,1019477,2025-03-14T15:10:13.3032,35457520,0,S06190,1001441,Piroska,1005743,5,,,,,,0,1016,Budapest,1001210,1001441,0,2022-09-13T14:59:30,0,2022-09-13T14:59:30,1002239,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"1016 Budapest, Piroska utca 5",1237079,1019477,2022-09-15T18:12:40,33451782,,,,,,,,,,
Bijó Kft.,1021822,1237081,True,True,True,11600006-00000000-64385288,1006887,False,False,1237082,1019477,2022-09-15T18:12:40,1019477,2025-04-01T13:25:57.57686,36374210,0,Bijó Kft.,Bijó Kft.,1000011,0,24703264-2-41,01-09-178111,AA2716040,False,True,False,False,1005833.0,False,1033667,2021-08-31T06:20:26.803349,False,[],Cég,1021822,1019477,2022-09-15T11:58:49,1019477,2025-03-14T15:10:13.55199,35457523,0,S03479,1001534,Róbert Károly,1005664,96-100,,,,,,0,1135,Budapest,1001210,1001534,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002332,0,körút,5,1005664,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006462,0,"1135 Budapest, Róbert Károly körút 96-100",1237081,1019477,2022-09-15T18:12:40,33451783,,,,,,,,,,
