atlas_telephely_id,partner/külső_id,hermes_telephely_id,partner_telephely_kulso_id,partner_nev_hermes,telepules_hermes,kozterulet_nev_hermes,kozterulet_jelleg_hermes,hazszam_hermes
1006944,1033559,1237064,1006944,A Csokoládés Kft.,Budapest,Ond Vezér,út,5-7
1006920,1033565,1237066,1006920,Adalékmentesen Kft.,Budapest,Révész,utca,2
1005334,1033581,1237068,1005334,Agro-Flott Kft.,Békésszentandrás,Szent András,utca,11
1006643,1033597,1237072,1006643,Ammerland Hungary Kft.,Budapest,Teréz,körút,38
1006694,1033619,1237074,1006694,Asix Distribution Kft.,Budapest,Soroksári,út,160
1007513,1033621,1237076,1007513,ATC Trade Zrt.,Szeged,Budapesti,út,4
1006518,1033629,9594626,1006518,Bábolna Élelmiszeripari Kft,Budapest,Fő,utca,73
1006478,1033661,1237080,1006478,Best Brands Hungária Kft.,Budapest,Piroska,utca,5
1006887,1033667,1237082,1006887,Bijó Kft.,Budapest,Róbert Károly,körút,96-100
1006496,1033669,1237084,1006496,Bio Fair Trade Kft,Budapest,Lövőház,utca,20
1006708,1033673,1237086,1006708,BiOrganik Online Kft.,Budapest,Gubacsi,út,47
1006230,1033681,1237088,1006230,Bivalyos Tanya Kft.,Ásotthalom,Bartók Béla,utca,31
1006175,1033697,1237090,1006175,Bolyhos Pálinka Kft.,Újszilvás,Bicskei,út,34
1005863,1033703,1237092,1005863,Bonduelle Central Europe Kft.,Nagykőrös,Ceglédi,út,25
1006656,1033707,1237094,1006656,Borok Világa Kft.,Budapest,Dohány,utca,58-62
1005347,1033715,1237096,1005347,Borsodi Sörgyár Kft.,Bőcs,Rákóczi,út,81
1006882,1033731,1237098,1006882,Bunge ZRt.,Budapest,Váci,út,43
1005442,1033737,1237100,1005442,Candimpex Csoki Kft.,Csomád,Kossuth,út,103
1006565,1033741,1237102,1006565,Cardex Európa Kft.,Budapest,Bécsi,út,267
1005399,1033743,1237104,1005399,Carlsberg Hungary,Budaörs,Neumann János,utca,3
1007220,1033753,1237108,1007220,Ceres Sütőipari Zártkörűen Működő Részvénytársaság (Ceres Zrt.),Győr,Reptéri,út,1
1006693,1033771,1237110,1006693,Cleaneco Kft.,Budapest,Soroksári,út,150
1007175,1033773,1237112,1007175,Coca-Cola HBC Magyarország Kft.,Dunaharaszti,Némedi,út,104
1006610,1033795,1237114,1006610,Csíki Sör Magyarország Kft.,Budapest,Bajcsy-Zsilinszky,út,12
1007009,1033803,1237116,1007009,Csom 2001 Kft.,Budapest,Zádor,utca,16
1007117,1033805,1237118,1007117,Csongrádbor Kft.,Csongrád,Aradi,utca,14
1005333,1033807,1237120,1005333,Csuta és Csuta Kft.,Békés,Szabó Dezső,utca,45
1006881,1033815,1237122,1006881,Danone Kft.,Budapest,Váci,út,35
1006476,1033845,1237124,1006476,Dr. Oetker Magyarország Élelmiszer Kft.,Budapest,Mészáros,utca,58
1006738,1033847,1237126,1006738,Dreher Sörgyárak Zrt.,Budapest,Antal,út,3
1006678,1033851,1237128,1006678,Drink Union Kereskedelmi Kft.,Budapest,Vas,utca,12
1007259,1033853,1237130,1007259,Drinker Kft.,Kisvárda,Temesvári,utca,4
